,Type,Name,Age,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,PhotoAmt,AdoptionSpeed,BreedMixed,ColorMixed,Video
24,2,Pepper,1,2,2,1,1,2,1,2,1,0,41327,1.0,2.0,False,False,False
25,2,Kekok,1,1,1,1,1,2,2,2,1,0,41361,1.0,1.0,False,True,False
26,2,Kitten Girl Girl,3,2,1,1,1,1,2,2,1,1,41327,5.0,4.0,False,False,False
27,2,Tom,12,2,6,2,3,2,2,2,1,0,41326,5.0,1.0,False,True,False
28,2,Comel,2,2,2,1,2,2,2,2,1,0,41326,3.0,1.0,False,True,False
29,1,WHISKY,12,1,1,2,1,2,2,2,1,0,41336,4.0,1.0,True,True,False
30,1,Boy,12,1,5,2,2,1,1,2,1,0,41326,1.0,3.0,True,True,False
31,2,Angel,2,2,7,2,2,2,1,2,1,0,41326,13.0,3.0,False,True,False
32,1,Jack,5,1,7,2,1,1,1,1,1,0,41401,6.0,3.0,False,True,False
33,1,Xiao Gou,12,1,2,2,2,2,1,1,1,0,41336,2.0,4.0,True,False,False
34,2,Cimpuk,5,1,4,1,3,1,1,2,1,0,41326,13.0,3.0,False,False,False
35,1,Lollipop,72,2,2,2,1,1,1,1,1,0,41326,3.0,4.0,True,False,False
36,2,Alang,60,1,1,3,3,1,1,1,1,0,41326,3.0,2.0,False,False,False
37,2,Cedric Jones,6,1,1,2,1,1,1,1,1,100,41401,1.0,4.0,False,False,False
38,1,BouncerBoy: Beagle Mix,2,1,2,2,1,1,1,2,1,0,41326,3.0,3.0,True,False,False
39,1,Dusty,3,2,2,1,1,3,3,3,2,0,41326,0.0,3.0,True,False,False
40,2,Hitler (rename-able),5,1,1,2,1,2,1,2,1,30,41326,4.0,4.0,False,False,False
41,1,Skippy,24,2,5,2,2,1,1,1,1,0,41326,2.0,2.0,True,True,False
42,1,Ceasar,4,1,5,3,2,2,2,2,1,0,41326,3.0,1.0,True,True,False
43,2,Puss In Boots,1,2,4,2,1,2,2,2,1,0,41326,5.0,1.0,False,True,False
44,1,Lego,9,1,2,2,1,1,1,3,1,0,41327,2.0,4.0,True,False,False
45,1,Milky,60,2,2,2,1,2,2,1,1,0,41326,2.0,4.0,True,False,False
46,1,IO-Male-03,2,1,1,2,2,2,2,2,1,0,41327,5.0,2.0,True,False,False
47,1,Ding Ding,48,2,2,2,2,1,1,2,1,0,41326,5.0,1.0,False,False,False
48,2,No Name No Name,3,2,2,2,1,2,2,2,1,0,41324,1.0,4.0,False,True,False
49,2,Almond,9,2,2,2,1,2,2,2,1,0,41401,1.0,2.0,False,False,False
50,1,Jasz,62,1,1,2,2,1,1,1,1,0,41401,3.0,4.0,True,False,False
51,1,H3,1,2,1,2,2,2,1,2,1,0,41326,1.0,3.0,True,False,False
52,1,Baby / Bubbles,2,1,1,1,1,1,3,2,1,0,41401,5.0,1.0,False,False,False
53,1,Ollie,2,1,1,1,1,1,1,2,1,0,41326,3.0,4.0,True,False,False
54,1,Coco,2,2,2,2,1,2,1,2,1,0,41336,1.0,0.0,True,False,False
55,1,Zoe,12,2,2,2,1,1,1,1,1,0,41326,3.0,3.0,True,True,False
56,1,Z3,2,1,2,2,2,1,1,2,1,0,41326,5.0,1.0,True,True,False
57,1,No Name No Name,1,2,2,2,1,1,1,2,1,0,41326,1.0,3.0,True,False,False
58,1,MPSP-F-01,2,2,1,2,1,1,2,2,1,0,41327,1.0,4.0,True,False,False
59,1,Teddy,3,1,1,1,3,1,1,3,1,750,41326,2.0,1.0,False,False,False
60,1,Tanto In Kulim,3,1,1,2,2,2,1,2,1,0,41325,1.0,2.0,True,False,False
61,1,Cody,3,1,5,2,2,3,3,2,1,0,41326,3.0,3.0,False,True,False
62,2,Malee,6,2,5,2,2,2,1,2,1,50,41326,4.0,3.0,False,False,False
63,2,Lulu,47,2,1,2,3,2,2,2,1,0,41326,2.0,4.0,False,False,False
64,1,Rottweiler Puppy,2,1,1,3,2,3,3,3,1,0,41326,4.0,2.0,False,False,False
65,1,Lion Dog In Training,12,2,5,2,2,1,1,1,1,0,41330,11.0,3.0,True,True,True
66,1,Molly,2,1,1,2,1,1,1,2,1,0,41326,18.0,3.0,False,False,True
67,1,Rocky 06,1,1,2,2,1,2,2,2,1,0,41330,5.0,3.0,True,True,False
68,2,Si Kuning,24,1,4,3,1,2,2,2,2,0,41324,12.0,3.0,False,True,False
69,2,Xiao Huang,24,2,2,2,1,2,2,1,1,0,41326,1.0,4.0,False,False,False
70,1,HeiHei,2,1,1,2,1,2,2,2,1,0,41327,2.0,3.0,True,False,False
71,2,Manja,19,2,1,3,3,1,1,2,1,0,41401,3.0,1.0,False,False,False
72,1,Miko,4,2,2,1,3,3,1,1,1,0,41401,3.0,3.0,False,True,False
73,1,Fei Chai,24,1,2,2,1,2,2,2,1,0,41336,3.0,3.0,True,False,False
74,2,No Name No Name,3,1,1,2,2,3,3,2,1,0,41326,1.0,1.0,False,False,False
75,1,Sweetie Pie,24,2,1,2,2,3,3,1,1,0,41326,2.0,2.0,False,False,False
76,1,Jasz Michael,60,1,6,2,2,1,1,1,1,0,41401,3.0,4.0,False,True,False
77,1,C,1,2,1,2,2,1,1,2,1,0,41326,1.0,3.0,True,False,False
78,2,Honey,3,2,2,1,1,1,1,2,1,0,41326,7.0,1.0,False,False,False
79,2,Meelow,2,1,3,1,2,2,2,2,1,0,41401,2.0,2.0,False,True,False
80,1,Doggie R4,2,2,1,2,1,2,2,2,1,0,41401,2.0,3.0,True,False,False
81,2,No Name No Name,2,2,6,2,1,2,1,2,1,0,41401,2.0,1.0,False,False,False
82,1,Pretzel,3,2,2,2,1,1,1,2,1,0,41401,4.0,4.0,True,True,False
83,2,Charlie Tux,4,2,1,2,1,1,1,2,1,0,41401,5.0,2.0,False,False,False
84,1,No Name No Name,120,1,1,3,1,3,3,3,1,0,41401,3.0,4.0,True,False,False
85,1,Rocket,3,2,2,2,1,2,2,2,1,0,41326,4.0,4.0,True,True,False
86,1,Jessy (Golden Retriever),36,2,2,3,2,1,1,2,1,0,41326,4.0,1.0,False,False,False
87,2,No Name No Name,3,2,1,1,1,2,1,2,1,0,41326,3.0,4.0,False,False,False
88,2,Girl,60,1,3,2,2,1,1,2,1,0,41326,0.0,4.0,False,True,False
89,2,DIDO,1,2,2,2,1,2,1,3,1,0,41326,4.0,1.0,False,False,False
90,1,Kaiser,36,1,1,3,1,1,1,1,1,0,41326,4.0,2.0,False,False,False
91,1,Oscar,12,1,1,2,2,1,2,2,1,400,41332,1.0,2.0,False,False,False
92,2,Zoro,1,1,1,1,2,2,2,2,1,0,41326,1.0,2.0,False,False,True
93,1,WonderBoy,5,1,5,2,1,1,1,1,1,0,41401,6.0,3.0,False,False,False
94,1,Ruby,24,2,1,2,2,3,3,3,1,0,41401,3.0,3.0,False,False,False
95,1,Milo,3,1,2,2,2,1,1,2,1,0,41326,3.0,1.0,True,True,False
96,1,Tiger Or Ti-girl,4,2,1,2,1,2,1,2,1,0,41335,5.0,4.0,True,True,False
97,2,Mocha (Reserved - Rose),8,1,2,2,1,1,1,2,1,50,41326,8.0,2.0,False,False,False
98,2,Baby Hak,12,1,1,2,2,2,2,2,1,0,41326,1.0,3.0,False,True,False
99,1,Polly,4,2,1,2,2,1,1,1,1,0,41326,10.0,3.0,False,False,False
100,1,Kaka,2,1,1,2,1,2,3,2,1,0,41326,3.0,2.0,True,False,False
101,2,Manja,7,2,1,2,1,1,1,2,1,0,41326,7.0,2.0,False,False,False
102,2,Pillo,5,1,4,2,3,2,1,2,1,100,41401,5.0,3.0,False,True,False
103,1,Sophieee,60,2,1,2,1,1,1,1,1,0,41401,2.0,3.0,False,False,False
104,1,Latte,12,2,2,2,1,1,1,1,1,0,41326,2.0,2.0,True,True,False
105,2,Cat,17,2,1,1,1,3,3,1,1,0,41326,3.0,3.0,False,False,False
106,1,Roscoe,48,1,1,2,2,1,1,1,1,0,41326,2.0,2.0,True,False,False
107,1,Winnie,4,2,1,2,1,1,2,2,1,0,41332,2.0,3.0,True,False,False
108,2,Manis,12,2,3,2,2,3,1,1,1,0,41326,2.0,3.0,False,False,False
109,2,Tobby,12,1,1,3,3,2,1,2,1,0,41326,2.0,1.0,False,False,False
110,2,Lily,3,2,6,2,1,1,1,2,1,0,41401,3.0,2.0,False,False,True
111,1,No Name No Name,36,2,1,3,2,3,3,3,2,0,41401,4.0,3.0,False,False,False
112,1,No Name,12,2,5,2,1,3,3,3,1,0,41326,1.0,4.0,True,False,True
113,1,Ffiona,2,2,1,2,2,1,1,2,1,80,41327,1.0,4.0,True,False,False
114,1,Scooby,36,1,1,2,1,1,1,1,1,0,41330,1.0,2.0,False,True,False
115,2,No Name,1,2,4,1,1,2,2,2,1,0,41401,3.0,1.0,False,False,False
116,1,Nutella,2,2,2,2,1,1,1,2,1,0,41326,4.0,1.0,True,True,False
117,1,BB,2,2,1,2,2,1,1,2,1,0,41326,4.0,3.0,True,False,False
118,1,Cute Female Puppies Looking A Home~,1,2,2,3,1,3,1,3,1,0,41401,2.0,2.0,True,False,False
119,2,Aswad,2,2,1,2,1,2,1,2,1,0,41326,3.0,2.0,False,False,False
120,2,Sunset,2,1,2,1,1,2,2,2,1,0,41401,1.0,0.0,False,False,False
121,1,Lady,2,2,1,2,1,1,1,2,1,80,41326,9.0,2.0,True,False,False
122,2,Little Yellow Cat,3,1,4,2,1,3,1,2,1,0,41401,3.0,4.0,False,True,False
123,1,Harvey,17,1,1,2,2,1,1,1,1,150,41401,1.0,4.0,True,True,False
124,2,Tabby Male,48,1,1,3,1,1,1,2,1,20,41326,4.0,2.0,False,False,False
125,2,Abu Nawas,1,1,1,2,1,2,2,2,1,0,41326,1.0,2.0,False,False,False
126,2,Silvy,5,2,1,2,2,2,2,2,1,150,41326,4.0,2.0,False,False,False
127,1,Java,8,1,1,2,1,3,3,1,1,0,41326,3.0,2.0,False,False,False
128,1,CUTIE,4,2,7,1,1,1,1,1,1,0,41326,2.0,4.0,True,True,False
129,1,Money,3,1,1,2,1,1,1,2,1,0,41326,3.0,3.0,True,False,False
130,2,Ninja,72,1,1,2,1,1,1,1,1,0,41326,10.0,4.0,False,False,False
131,1,No Name No Name,12,2,1,2,2,2,1,2,1,0,41327,2.0,4.0,True,False,False
132,1,Jasper,22,1,2,2,1,1,1,2,1,0,41401,0.0,3.0,False,False,False
133,1,Oreo,36,1,3,2,2,3,3,2,1,0,41326,3.0,4.0,True,True,False
134,1,Piston,2,1,5,2,2,3,3,2,1,0,41326,1.0,3.0,True,True,False
135,1,Momo,12,2,7,2,2,1,1,2,1,0,41326,5.0,2.0,True,True,False
136,1,Baobob,7,1,1,1,1,2,2,2,1,50,41326,1.0,4.0,True,False,True
137,1,No Name No Name,2,1,1,2,1,2,2,2,1,0,41401,4.0,1.0,True,False,False
138,1,Simone,24,2,2,2,1,1,1,1,1,0,41326,24.0,4.0,True,False,False
139,1,Goofy,1,2,2,2,3,2,2,2,1,0,41326,3.0,1.0,True,True,False
140,1,Coffee,1,2,2,2,1,2,2,2,1,0,41332,1.0,2.0,True,True,False
141,2,"""Baraka"" The Black Cat",5,1,1,1,1,1,2,3,1,0,41401,4.0,4.0,False,False,False
142,1,Butter,16,2,5,1,1,1,1,3,1,0,41401,3.0,1.0,False,False,False
143,2,Lucky Paws,2,1,3,2,1,1,1,2,1,0,41326,5.0,2.0,False,False,False
144,2,Baby,2,1,5,1,2,3,3,3,1,0,41327,6.0,4.0,False,True,False
145,1,Rocky(pomeranian+ Shih Tze Mix),7,1,2,2,1,1,1,3,1,0,41326,8.0,1.0,False,True,False
146,2,PF 14928 -- Bobo,13,2,2,2,1,2,1,2,1,0,41326,5.0,4.0,False,False,False
147,1,Spongebob,3,1,1,2,1,1,1,1,1,0,41326,3.0,3.0,True,False,False
148,1,Blackie,12,1,1,2,1,1,1,2,1,0,41326,1.0,4.0,True,False,False
149,2,Galaxy,3,1,1,1,1,1,1,2,1,0,41401,9.0,2.0,False,False,False
150,1,Pretty Baby Girl,2,2,1,2,2,2,2,2,1,0,41326,1.0,4.0,True,False,False
151,2,Oyen,10,2,4,2,1,1,1,1,1,0,41401,8.0,3.0,False,True,False
152,1,Little Peanut,2,2,4,2,1,2,1,2,1,0,41326,5.0,1.0,True,False,False
153,1,Scooby's Brother,2,1,1,2,1,2,2,2,1,0,41326,2.0,3.0,True,False,False
154,2,Smallie,4,2,1,3,1,2,2,2,1,0,41401,8.0,1.0,False,False,False
155,1,The Bidi Budu Bubu Boy,60,1,2,2,2,1,1,1,1,0,41326,5.0,3.0,False,False,False
156,2,Mocha,12,2,2,2,1,1,1,1,1,0,41401,2.0,4.0,False,False,False
157,2,Jayden,2,2,1,1,1,2,2,2,1,0,41326,5.0,1.0,False,False,False
158,2,Meme,6,2,3,2,1,2,1,1,1,0,41326,5.0,4.0,False,False,False
159,1,Zen Lee,3,2,1,3,1,3,3,2,1,0,41326,2.0,2.0,True,False,False
160,1,Sweety,1,2,1,2,2,2,1,2,1,0,41326,4.0,1.0,True,True,False
161,2,Bobo Chan,3,1,4,2,2,2,2,2,1,50,41326,3.0,1.0,False,False,False
162,1,Female - Unique Eye Colour (D133-060516),19,2,1,2,1,1,1,1,1,80,41326,3.0,4.0,True,True,False
163,2,Cici,11,2,1,2,1,1,1,1,1,50,41326,5.0,4.0,False,False,False
164,1,Bijou *Sponsored* D6-250915,37,2,2,2,1,1,1,1,1,0,41326,5.0,4.0,True,False,False
165,2,Ragdoll,4,2,1,1,3,2,2,3,1,250,41326,3.0,2.0,False,False,False
166,1,Bongo,3,1,5,2,1,2,1,1,1,0,41401,6.0,1.0,False,True,False
167,1,Milo,6,1,1,2,1,1,1,1,1,0,41326,1.0,3.0,True,False,False
168,2,Ginger,1,2,3,2,1,2,2,2,1,0,41326,7.0,2.0,False,False,False
169,1,Blackie,5,1,1,2,1,3,3,3,1,0,41326,0.0,4.0,True,False,False
170,2,Xiao Bao,7,1,1,2,1,2,1,2,1,0,41401,2.0,2.0,False,False,False
171,1,Joey,4,2,1,2,2,2,1,2,1,1,41401,1.0,4.0,True,False,False
172,2,Markisa. URGETLY NEEDS HOME,1,2,1,2,1,2,2,2,1,0,41326,0.0,4.0,False,False,False
173,1,Jojo,48,2,2,2,1,1,1,1,1,0,41326,1.0,3.0,True,True,False
174,1,Mini,3,2,2,1,1,2,2,2,1,0,41330,3.0,1.0,False,True,False
175,1,Jack,2,1,1,2,2,1,1,2,1,0,41326,1.0,1.0,True,False,False
176,2,Kacha,4,1,4,1,1,1,1,3,1,0,41401,5.0,1.0,False,False,False
177,1,QQ,22,2,5,2,1,1,1,2,1,0,41326,3.0,1.0,False,False,False
178,1,Carly,60,2,2,1,3,1,1,1,1,0,41326,3.0,1.0,False,True,False
179,1,Murphy,3,1,1,2,1,3,3,2,1,0,41326,2.0,2.0,False,True,False
180,2,Pepper,4,2,5,2,2,3,3,3,1,0,41401,4.0,2.0,False,True,True
181,2,Manja Bella,13,2,1,2,2,1,1,2,1,0,41326,3.0,1.0,False,False,False
182,2,Kitten For Adoption,1,1,1,1,1,3,3,3,1,0,41327,1.0,3.0,False,False,False
183,1,Labrador + Ridgeback Female,5,2,1,2,2,1,1,2,1,0,41326,8.0,1.0,False,True,False
184,1,Lucky Angel,2,2,1,2,2,2,1,2,1,0,41326,12.0,3.0,True,False,False
185,1,Bubbly Bundle Of Joy,2,2,2,2,1,1,1,2,1,0,41326,9.0,2.0,False,False,True
186,1,Flora,36,2,2,2,1,1,1,1,1,0,41326,1.0,3.0,True,True,False
187,1,Miss,2,2,1,2,1,1,1,2,1,0,41326,4.0,4.0,True,False,True
188,1,Y1,2,2,1,2,2,2,1,2,1,0,41326,4.0,2.0,True,False,False
189,2,Patches,2,2,1,2,1,2,1,2,1,0,41326,3.0,1.0,False,False,False
190,2,Cham,8,1,3,2,1,1,1,1,1,0,41326,2.0,2.0,False,True,False
191,2,LAVENDER,2,2,1,2,2,1,1,2,1,0,41326,4.0,3.0,False,False,False
192,2,Maddie,9,2,2,1,1,1,1,1,1,0,41401,3.0,2.0,False,False,False
193,2,Grey,6,2,6,2,1,3,3,3,1,0,41336,4.0,2.0,False,True,False
194,1,Chanelle,18,2,2,2,1,1,1,1,1,0,41401,10.0,0.0,False,False,False
195,1,Wei Wei,14,1,2,3,2,1,1,1,1,0,41336,3.0,0.0,True,True,False
196,2,No Name No Name,2,1,7,2,1,2,1,2,1,0,41401,2.0,1.0,False,True,False
197,2,Noizy,12,1,1,2,2,1,1,1,1,0,41326,1.0,4.0,False,False,False
198,2,Guo Guo,12,2,1,2,1,2,3,1,1,0,41326,1.0,4.0,False,False,False
199,1,Jill The Walnut,1,2,1,2,1,2,2,2,1,0,41326,5.0,1.0,False,False,False
200,1,Bunny,2,2,1,2,2,1,1,2,1,0,41326,2.0,3.0,True,False,False
201,1,Brownie,3,2,2,2,1,3,3,3,1,0,41326,2.0,1.0,True,True,False
202,1,Mesky,3,1,5,2,2,2,2,2,1,0,41327,4.0,1.0,False,False,False
203,2,âª GERBERA âª,6,2,4,1,1,1,1,1,1,200,41336,6.0,4.0,False,True,False
204,2,Kitten S1,3,1,1,1,1,2,2,2,1,0,41401,1.0,2.0,False,False,False
205,1,Zizi,3,1,2,3,1,2,2,3,1,0,41401,3.0,2.0,True,True,False
206,1,Flash,24,2,2,2,1,1,1,1,2,20,41326,2.0,4.0,True,True,False
207,1,Sam,1,1,2,2,2,2,2,2,1,0,41326,1.0,1.0,True,False,False
208,1,Big Big Girl,2,2,1,2,2,2,1,2,1,250,41401,13.0,3.0,False,False,False
209,1,Apollo,2,1,3,2,2,1,1,2,1,0,41326,1.0,2.0,True,True,False
210,1,LuiLui,7,2,2,2,1,1,1,2,1,0,41401,1.0,3.0,True,True,False
211,2,Mok,3,1,1,1,3,2,2,2,1,150,41326,3.0,1.0,False,False,False
212,1,Missy,1,2,2,2,1,2,2,2,1,0,41330,2.0,3.0,True,True,False
213,1,Clory,1,2,1,2,1,1,1,2,1,0,41326,9.0,2.0,True,False,False
214,1,Rocco,55,1,1,2,1,1,1,1,1,0,41326,5.0,2.0,False,False,False
215,1,Dango,2,2,1,2,1,1,1,2,1,0,41326,3.0,2.0,False,False,False
216,1,Mani,3,2,1,2,2,1,1,1,1,0,41326,3.0,3.0,True,False,False
217,1,Lily,36,2,3,2,2,3,3,1,1,0,41326,9.0,3.0,False,False,False
218,2,Kairi ã«ã¤ Neko,1,2,1,2,3,2,1,2,1,0,41326,10.0,2.0,False,False,True
219,2,Kasih Dan Oreo,6,2,2,2,2,2,2,2,1,0,41326,3.0,4.0,False,False,False
220,2,Polo And Vincci,6,2,2,2,2,2,2,2,1,0,41401,3.0,1.0,False,False,False
221,2,Sang Abong,4,1,2,2,2,2,2,2,2,0,41326,4.0,1.0,False,True,False
222,1,Carmen,2,2,2,2,2,1,1,2,1,0,41326,3.0,1.0,False,False,False
223,1,Cow Girl,5,2,1,2,1,1,1,2,1,0,41401,1.0,2.0,True,False,False
224,2,Chiko,20,1,1,3,2,2,1,2,1,0,41326,4.0,1.0,False,False,False
225,1,Pinky,2,2,2,2,1,1,1,2,1,0,41401,6.0,3.0,True,False,False
226,1,Yimmy,7,1,2,2,2,1,3,3,1,0,41326,1.0,1.0,True,False,False
227,2,Haru ã¯ã Neko,1,1,1,2,1,2,1,2,1,0,41326,6.0,1.0,False,False,False
228,1,Katniss,1,2,1,2,1,2,2,2,1,0,41332,1.0,3.0,True,True,False
229,2,Vader,28,1,1,3,3,1,1,2,1,0,41401,5.0,2.0,False,True,False
230,1,Subang - Belgian Sheperd Mixed,24,2,1,2,2,1,1,1,1,250,41326,9.0,4.0,False,False,False
231,1,Buddy,12,1,2,2,2,1,1,1,1,0,41326,0.0,4.0,True,False,False
232,2,Tom,4,1,1,2,1,2,2,2,1,0,41326,4.0,4.0,False,False,False
233,1,Cocoju,2,2,1,2,2,1,1,2,1,0,41326,4.0,2.0,True,False,False
234,2,Meor For Free Adoption.,2,1,4,1,1,1,1,2,1,0,41326,5.0,1.0,False,True,False
235,1,Puppy,1,2,1,1,1,2,2,2,1,0,41326,1.0,4.0,True,False,False
236,1,Beagle^^,5,2,1,2,1,3,3,3,1,300,41326,1.0,1.0,False,False,False
237,2,Poppy,22,2,1,2,2,1,1,1,1,0,41327,7.0,4.0,False,True,False
238,2,Taki,36,2,1,2,2,1,1,1,1,0,41332,4.0,4.0,False,False,False
239,1,Mimi,36,2,7,2,2,1,1,1,1,0,41401,2.0,2.0,False,True,False
240,1,Poppy,8,1,4,2,1,1,1,2,1,0,41401,2.0,4.0,True,True,False
241,1,Chorbath,10,2,7,2,1,2,1,1,1,0,41401,2.0,4.0,True,True,False
242,1,Million,2,2,2,2,1,2,1,2,1,0,41326,4.0,4.0,True,False,False
243,2,Mushtash,2,1,1,1,2,2,2,2,1,0,41401,4.0,4.0,False,False,False
244,1,Randy,3,1,1,2,1,3,1,3,1,0,41326,2.0,4.0,True,True,False
245,1,White Socks,3,2,1,2,1,2,2,2,1,0,41327,2.0,3.0,True,False,False
246,1,Shih-Tzu Sue,60,2,1,1,2,3,1,1,1,0,41326,1.0,3.0,False,False,False
247,1,Hayden,2,1,2,2,1,1,1,2,1,0,41401,1.0,2.0,True,True,False
248,2,Oreo,12,1,2,2,2,1,1,1,1,0,41326,2.0,1.0,False,False,False
249,1,H1,1,2,1,2,2,2,1,2,1,0,41326,1.0,3.0,True,False,False
250,1,Baby Girl,1,2,7,2,2,2,2,2,1,0,41330,1.0,3.0,True,True,False
251,1,Whitey,24,2,7,3,1,3,3,1,2,0,41327,2.0,4.0,True,True,False
252,1,Marie Girl,3,2,2,2,1,1,1,1,1,200,41326,6.0,4.0,True,True,False
253,1,Oliver,2,1,1,2,1,2,2,2,1,0,41326,7.0,3.0,True,False,False
254,2,Lovey,12,1,1,1,2,3,3,3,1,0,41326,1.0,4.0,False,True,False
255,1,Female Dog,12,2,2,2,2,2,1,2,1,0,41327,1.0,4.0,True,True,False
256,1,No Name No Name,1,1,2,2,1,1,1,2,1,0,41326,1.0,3.0,True,True,False
257,2,Amber ï¼åç¼ç®/ååï¼,11,2,1,2,1,1,1,1,1,0,41326,11.0,2.0,False,False,False
258,1,BOBO,74,1,2,2,2,3,1,3,1,0,41326,2.0,2.0,False,False,False
259,1,Naari,36,2,2,2,3,1,1,1,1,0,41326,3.0,3.0,False,False,False
260,1,C7C,3,2,2,2,2,2,1,2,1,0,41326,3.0,3.0,True,False,False
261,1,Bonnie,2,2,1,2,1,1,1,2,1,0,41326,6.0,3.0,True,False,False
262,1,Girliee,3,2,1,2,2,1,1,2,1,0,41326,4.0,3.0,True,False,False
263,1,Prince,48,1,7,1,1,1,1,2,1,0,41401,1.0,1.0,False,True,False
264,1,Tiger Girl,2,2,1,2,1,1,1,1,1,0,41326,8.0,3.0,True,False,False
265,1,Poodle Found In Kajang,36,1,2,1,2,3,3,2,1,0,41326,3.0,2.0,False,True,False
266,2,No Name No Name,3,1,1,2,3,2,1,2,1,0,41326,5.0,2.0,False,False,False
267,2,No Name No Name,4,2,1,1,1,2,2,2,1,0,41326,3.0,1.0,False,False,False
268,1,Robocop,1,1,1,2,1,2,1,2,1,0,41327,5.0,3.0,False,False,False
269,1,Giant,60,1,1,2,1,1,1,1,1,0,41325,1.0,2.0,False,False,False
270,1,Sunshine,2,2,1,2,2,1,1,2,1,0,41326,1.0,2.0,True,True,False
271,1,Choko,4,2,1,2,2,1,1,2,1,0,41326,4.0,4.0,True,False,False
272,2,Kitty 2,2,2,1,2,1,2,1,2,1,0,41401,1.0,1.0,False,False,False
273,1,Kimberly,3,2,3,2,1,1,1,1,1,0,41327,7.0,4.0,True,True,False
274,1,WANGKI,2,2,1,2,2,2,2,2,1,0,41330,1.0,2.0,True,False,False
275,2,Jessy,1,2,7,1,2,2,1,2,1,0,41335,10.0,1.0,False,True,False
276,1,DIANA,18,2,1,2,1,1,1,1,1,0,41326,3.0,4.0,True,True,False
277,2,Golden Short Tail,3,1,3,2,1,1,1,2,1,20,41326,0.0,2.0,False,True,False
278,2,Handsome Momo,6,1,6,2,2,1,1,1,1,120,41326,5.0,2.0,False,False,True
279,1,Pooch The Happy Pup,2,1,1,2,1,1,1,2,1,0,41326,14.0,2.0,True,False,True
280,1,Lucky,24,2,2,2,1,3,3,3,1,0,41336,6.0,3.0,True,True,False
281,2,No Name Yet,6,1,1,2,1,3,3,3,1,0,41401,3.0,4.0,False,False,False
282,1,D9,2,2,2,2,2,2,1,2,1,0,41326,4.0,2.0,True,True,False
283,1,No Name No Name,48,1,1,1,2,1,1,2,1,0,41401,0.0,1.0,False,True,False
284,1,Kangga,2,1,2,2,1,2,2,2,1,1,41336,3.0,1.0,True,True,False
285,2,Mung,3,2,6,2,1,2,1,2,1,0,41336,3.0,2.0,False,False,False
286,1,Puppy,53,1,7,2,2,1,3,3,1,0,41326,1.0,4.0,True,True,False
287,2,Rusco Baby,1,1,1,1,1,2,2,2,1,0,41345,1.0,4.0,False,False,False
288,2,Mikii,7,1,1,2,2,1,1,1,1,0,41326,15.0,4.0,False,False,False
289,2,Blackie,4,2,1,1,1,2,2,2,1,0,41401,3.0,2.0,False,True,False
290,1,R11,1,1,2,2,2,2,1,2,1,0,41326,1.0,2.0,True,True,False
291,2,Ponky,1,1,1,2,1,2,1,2,1,0,41401,4.0,2.0,False,False,False
